# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	ctrl-PCR-neg-PUF	PUF-IPEX-8	PUF-JD14
86da7c5fa355c537016c0b5a771dd7eb	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7970c113788b8dd3c3d4ab8cd0cff958	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87e30c3f3485f697a459ff0bff3ae47f	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dece8419b8e4e1cc5d3a8bdc85038c21	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0
346bc70bbc56cc5fc46932accd608df6	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
efe1ce8e8d1b9cdb5da01eb790e3abcc	85.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0
c1d3a60fd01c1a6a9e7caab084de0b3c	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723fc0509a818919c3b86838e64e8ac6	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aec35e427b95f1cbf2c6d6503e172a4f	79.0	19.0	1.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	171.0
a3612a98863d0cb2a0423fb56a0bef70	75.0	104.0	567.0	150.0	70.0	598.0	103.0	43.0	0.0	128.0	345.0
509601293428a905ac98259d992a33d4	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
250d17eba03bf76ef3b4e3dc5e4150d0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1d534186f20b242a93cb7e6b95377dee	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24c7b169fd1a4bbd0df611e175020c64	71.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1df8ad75688f7b9844c611cc87f3f889	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0
84fc56f0b8549db7f28efc3c5393cd75	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8e912b58de9ac7c94d8ccdb252e4256b	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce9e585d5196adf56f4e2c0e02e27b73	66.0	0.0	38.0	0.0	0.0	193.0	32.0	0.0	0.0	17.0	0.0
8187787e018ce4815342f12d65ff7dc8	65.0	0.0	99.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	251.0
0cb8545bcd40c39e0dc3b54c890b9b19	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26546df439865e41f784f18f7a701b54	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41c45339d38abd4ca6fa64f0573bf936	51.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
945bd633c00552164446ce1c2ba94461	50.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
b13a07a3dbfa89683b970f2fafb3f2ba	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
911691df900d63866f995dc97e6fb804	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
915a47b4d3aa9b7794496314e638d3f4	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fddd63d43d5f4e96da038b4517dbebce	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ede510d310252729eec3c51068e583e0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
945d952a1ecf5c47f2e6d707ba8048bb	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3622d4cdf954a474607e887ff8e0e8d6	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ab1d714cc45e3cf550c6cc5313676b71	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68d00464a20b39785bcf8de918ec41dc	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d49fe44879812a0b0f69cc2ecfff3e9	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dc2016da0d821801aa1a04d64573b9a9	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1dc8d3ec6e485baf19766529baf3e7b	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6a73afbd4d193e9f1e3393f8fc0d0751	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
